lat:49.6476800 lon:19.8200800
lat:49.6465400 lon:19.8410200
lat:49.6478100 lon:19.8553300
lat:49.6456200 lon:19.8566200
lat:49.6492900 lon:19.8655500
lat:49.6456300 lon:19.8571800
lat:49.6500800 lon:19.8322900
lat:49.6477000 lon:19.8447300
lat:49.6492100 lon:19.8273600
lat:49.6452700 lon:19.8272000
lat:49.6494600 lon:19.8321800
lat:49.6489000 lon:19.8462200
lat:49.6486000 lon:19.8292700
lat:49.6550000 lon:19.8376000
lat:49.6377600 lon:19.8268900
lat:49.6465200 lon:19.8179200
lat:49.6494700 lon:19.8641300
lat:49.6453000 lon:19.8567800
lat:49.6466300 lon:19.8276000
lat:49.6502400 lon:19.8336700
lat:49.6494400 lon:19.8315900
lat:49.6479100 lon:19.8462800
lat:49.6509200 lon:19.8352500
lat:49.6391600 lon:19.8321500
lat:49.6507600 lon:19.8388900
lat:49.6376000 lon:19.8359800
lat:49.6553400 lon:19.8370100
lat:49.6351600 lon:19.8282900
lat:49.6361900 lon:19.8292900
lat:49.6501800 lon:19.8271200
lat:49.6492100 lon:19.8274800
lat:49.6454400 lon:19.8273300
lat:49.6508500 lon:19.8316700
lat:49.6492600 lon:19.8321400
lat:49.6441300 lon:19.8276500
lat:49.6406200 lon:19.8408000
lat:49.6486800 lon:19.8291900
lat:49.6551500 lon:19.8374400
lat:49.6542100 lon:19.8362800
lat:49.6374600 lon:19.8269300
lat:49.6462000 lon:19.8212000
lat:49.6419500 lon:19.8271900
lat:49.6450500 lon:19.8619100
lat:49.6445400 lon:19.8643400
lat:49.6468800 lon:19.8177300
lat:49.6490900 lon:19.8421400
lat:49.6397300 lon:19.8211100
lat:49.6495800 lon:19.8645800
lat:49.6452500 lon:19.8612900
lat:49.6473700 lon:19.8190500
lat:49.6408500 lon:19.8271300
lat:49.6449400 lon:19.8612800
lat:49.6463200 lon:19.8213900
lat:49.6489000 lon:19.8425600
lat:49.6428000 lon:19.8268400
lat:49.6480600 lon:19.8565400
lat:49.6453200 lon:19.8607200
lat:49.6497800 lon:19.8421500
lat:49.6464200 lon:19.8165800
lat:49.6455700 lon:19.8593800
lat:49.6489300 lon:19.8427300
lat:49.6401100 lon:19.8294300
lat:49.6451500 lon:19.8592400
lat:49.6463800 lon:19.8185400
lat:49.6449900 lon:19.8630700
lat:49.6458800 lon:19.8594000
lat:49.6489900 lon:19.8431500
lat:49.6450800 lon:19.8601100
lat:49.6448200 lon:19.8585800
lat:49.6449400 lon:19.8581600
lat:49.6469700 lon:19.8189500
lat:49.6457400 lon:19.8588100
lat:49.6446800 lon:19.8589200
lat:49.6487400 lon:19.8435300
lat:49.6445200 lon:19.8582600
lat:49.6443500 lon:19.8585900
lat:49.6490100 lon:19.8274500
lat:49.6506200 lon:19.8308600
lat:49.6498200 lon:19.8324900
lat:49.6470200 lon:19.8293600
lat:49.6474400 lon:19.8449400
lat:49.6536500 lon:19.8367800
lat:49.6514200 lon:19.8361200
lat:49.6403200 lon:19.8402100
lat:49.6481500 lon:19.8286800
lat:49.6359700 lon:19.8264800
lat:49.6513300 lon:19.8361500
lat:49.6464100 lon:19.8170500
lat:49.6444600 lon:19.8580500
lat:49.6485300 lon:19.8253700
lat:49.6464600 lon:19.8284200
lat:49.6446100 lon:19.8574400
lat:49.6459200 lon:19.8204600
lat:49.6403100 lon:19.8288400
lat:49.6445800 lon:19.8571900
lat:49.6443000 lon:19.8562500
lat:49.6401400 lon:19.8220600
lat:49.6447200 lon:19.8563400
lat:49.6452500 lon:19.8578400
lat:49.6473900 lon:19.8229100
lat:49.6488400 lon:19.8510700
lat:49.6462500 lon:19.8446400
lat:49.6443300 lon:19.8553400
lat:49.6408400 lon:19.8231500
lat:49.6454200 lon:19.8545000
lat:49.6452900 lon:19.8537700
lat:49.6464400 lon:19.8193600
lat:49.6464800 lon:19.8407500
lat:49.6426600 lon:19.8249400
lat:49.6476100 lon:19.8537800
lat:49.6460300 lon:19.8542400
lat:49.6477200 lon:19.8542700
lat:49.6472000 lon:19.8196400
lat:49.6490100 lon:19.8632200
